x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f0,f1,g0,g1,g2,run,seed
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.31098582688719034,0.5,0.5,0.18,10.256450367160141,7.6423952031851,-2.726771301934439,-0.00018009310497291153,-106211.50730944672,-1.6555082458502157,14,2014
2.0,1.0,2.0,1.0,0.0,3.0,1.0,4.0,30.0,0.7895912863314152,0.7454876080155373,0.5179839255288243,0.16049537032842637,10.527269309386611,9.037629096264421,-4.632527652463414,-6.64516155666206e-05,-167599.65453476325,-158.9953137759529,14,2014
2.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,29.591819752007723,0.9127736324444413,0.26411926094442606,0.30705155711621046,0.18,10.182594645768404,8.763468516976088,-4.504094231669621,-1.1432348401285708e-08,-154069.5374743726,-16.76834119744845,14,2014
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.3396993534412494,0.5,0.5,0.18,10.994448753160379,7.635981394164436,-2.5884133405436596,-2.7322340429236647e-05,-96926.42866576627,-1.460670347179666,14,2014
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.31220523130196215,0.5,0.5,0.18,10.998799249259346,7.630127469842481,-2.4421774293811684,-0.00033169221842399566,-88782.34722758419,-1.4019087297786132,14,2014
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.46736393522375247,0.5,0.5,0.18,11.0,7.663130305309298,-2.984891265401299,-6.921415661054198e-06,-127808.96334567797,-1.7536793300751161,14,2014
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.27661414533452827,0.5,0.5,0.18,10.037380823269588,7.638671942712276,-2.6592701975185453,-2.1687536900572013e-05,-101838.6601634709,-1.6554671160741636,14,2014
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.2854077946427072,0.5,0.5,0.18,10.093581693136455,7.639627391788098,-2.679808700677377,-3.24316997648566e-05,-102987.9287370707,-1.654602892831597,14,2014
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.3133393560158207,0.5,0.5,0.18,10.242987639172126,7.643162004099603,-2.734316723825275,-0.00010260714952892158,-107141.72410393551,-1.6694637630522933,14,2014
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,30.779125270011818,0.5150655647607719,0.5,0.5,0.18,10.0,7.693954976084496,-3.2224152124606227,-0.7975594934187029,-155138.78255562024,-1.9855915125682084,14,2014
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.30938425879927395,0.5,0.5,0.18,10.0,7.646763472578508,-2.793155242953113,-0.00048778213658806635,-111716.94106022915,-1.7625239033332363,14,2014
