x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,f0,f1,run,seed
1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1341546204026035,0.0,0.5,0.0,0.0,0.5,0.0,0.07194121981893713,0.5,-6.739733576211808,27.557629554141187,17,2017
1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.20215753081036736,4.163336342344337e-17,0.5,0.0,0.0,0.5,6.245004513516506e-17,0.07728153133210378,0.5,-7.017879457419373,30.749762858836036,17,2017
1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.21579147700960735,0.0048308164462422245,0.5,0.0029158045190806788,0.0034993749434620402,0.5,0.0460852418804712,0.1843429481109742,0.5,-6.744224395104769,28.747185305086603,17,2017
1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2054048980443164,3.469446951953614e-18,0.5,0.0,0.0,0.5,0.0,0.19386228269996947,0.5,-6.654946423081217,27.45851190118399,17,2017
1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.20854839598456432,0.008238463532904935,0.5,0.003730320210879147,0.011137908756712995,0.5,0.06106504954154304,0.11616006414515959,0.5,-6.888748966528018,30.457482196169593,17,2017
2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.31257687106004,4.9439619065339e-17,0.5,2.42861286636753e-17,0.0,0.1518735135980266,0.2865156887235659,2.168404344971009e-18,3.469446951953614e-18,-7.781909997875376,39.81426531618135,17,2017
2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,0.0,0.3160323254264973,0.0,0.5,0.0,0.0,0.14562368320445623,0.3708617799516553,0.0,1.0772894434645903e-18,-7.7825371058991495,40.298047793938025,17,2017
2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.31876590541521777,0.0,0.5,2.7321894746634712e-17,3.469446951953614e-17,0.14753395382119605,0.2502699832593807,0.0,1.3877787807814457e-17,-7.783000074957474,40.598105539669746,17,2017
0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.109832250191573e-17,2.0816681711721685e-17,0.5,0.0,0.5,0.5,0.0,0.5,0.5,-3.640073254738878,18.5,17,2017
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.826971272941352e-16,0.0,0.5,1.4842409650414597e-17,0.5,0.5,7.463366010719251e-18,0.5,0.5,-3.640016406025603,16.5,17,2017
