x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.24814320014287242,0.11642450254899817,0.3333238925341038,0.002020810472728308,0.319047524213246,0.13226584296429467,0.01166970988922864,3.827112315520723e-05,0.25144570550625633,-7.868792933674926,43.10256889434855,0,2000
2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3357433751783776,0.17563704243376974,0.41045592428410144,6.505213034913027e-19,0.3146587938414525,0.1271439756528497,0.008770509007572428,0.016231815260585983,0.10549055047173912,-7.8970147516663305,43.11809621842197,0,2000
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.5,0.5,1.0408340855860843e-17,0.5,0.5,2.2985086056692694e-17,0.5,0.5,-3.482849974437949,11.5,0,2000
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34110012700726083,0.5,0.5,0.01740124881524572,0.5,0.5,0.003182298611001051,0.5,0.5,-3.494084812899256,12.437946361068068,0,2000
2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.025981520582897218,0.44771158446292436,0.5252858293528374,0.306627733815599,0.06611497080460728,0.33823207215941253,0.03463554837445301,0.06229878649657383,0.020087616303474998,-10.568566360114716,45.807301701275726,0,2000
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1512365156860417,0.05258001380844519,0.5,0.0019530533773429292,0.3761695811827716,0.5,0.8074709937711079,0.7089102742825815,0.5,-7.387412564739909,37.54648340638548,0,2000
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.370534401022829e-16,0.0,0.5,2.0047355585716803e-17,1.1053778425328697e-17,0.5,0.0687923490953356,0.6889438052878658,0.5,-7.18232203707577,28.54641692629921,0,2000
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.015256011024941438,0.006906440051864561,0.5,4.0412351710665965e-17,1.2002898266185818e-17,0.5,5.223006277043726e-05,0.6403091909068073,0.5,-7.222154769311277,28.84413163932355,0,2000
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15740119505696268,0.07952167631040274,0.5,0.031221256280367714,0.38555367862047696,0.5,0.8108619544515415,0.4965524753296123,0.5,-7.343297017017966,36.562828020552026,0,2000
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.1362104585670895e-19,0.007680487871341247,0.5,0.018582298950931626,0.0342329360377629,0.5,3.052121424994219e-18,0.594741877272625,0.5,-7.32985762382079,29.88575560282551,0,2000
