x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.26760483816907243,0.1607668623846118,0.5,0.0,1.0408340855860843e-17,0.5,0.0,0.0,0.5,-7.1888704843524325,25.682208334167417,0,52
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3752065571413226,0.15816734373316568,0.5,0.0028469395340400684,0.005509837919388482,0.5,0.0004917576830777413,0.005764361681824169,0.5,-7.198842859955248,26.248255464928132,0,52
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33895236644837745,0.15791673195947314,0.5,0.005578710881702644,0.018254996297415598,0.5,0.0006774211881101359,0.00039111923292152034,0.5,-7.190789020463414,26.128198292276906,0,52
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3677572446161669,0.3980347409832941,0.5,0.08893561693135275,0.002046936900581096,0.5,0.015409629464612225,0.0003418655882456682,0.5,-7.203770024812287,27.69614361528994,0,52
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4348735955664271,0.40577021938327085,0.5,0.005712146494250532,0.00783260136409073,0.5,0.020024321596410388,0.1923141851103183,0.5,-7.237076370156,28.83165113280496,0,52
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1463164693632881,0.5,0.5,0.03418441341298767,0.03761839662092414,0.5,0.3295626297509749,0.5,0.5,-3.629566481860997,18.558052203157885,0,52
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12253283585639635,0.5,0.5,0.007794409432867204,0.01505743111032981,0.5,0.2752659964058727,0.5,0.5,-3.6216297618429945,17.893807092735493,0,52
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3016510755848621,0.39874300922922773,0.5,0.0705263810935454,0.026538280232158762,0.5,0.8464692337272608,0.7826553295275048,0.5,-7.425646354509622,37.10706085915761,0,52
2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.11923523831613003,0.1128759218976042,0.07337150819314352,0.007088210615173896,0.0036149692979289233,0.0025422125762905113,0.02977215011353758,0.5907157069971204,0.5433277104356542,-11.451975330552118,51.78875551831976,0,52
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.09931921528166808,0.06833777534905493,0.045986486488810624,0.051425328781263595,0.024290848409028364,0.0192414701854709,0.030379092389746707,0.6128942108444622,0.4984400604010903,-11.316794329126894,49.03656987109024,0,52
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0776298729147911,0.05218190310678433,0.042410161328196035,0.13830326234947535,0.018379770945221093,0.011651163709612914,0.003570746675981621,0.6261532267878678,0.5011615337034377,-11.396974284556018,50.36915401478105,0,52
2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16645044057537386,0.16602555535943922,0.1595177130337581,0.0004662802723508363,0.01591444996946481,0.026716344505475605,0.0026786887676551164,0.0010255608916064452,0.017277611446251163,-8.124798386179187,39.44948655991849,0,52
