sample_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,is_active0,is_active1,is_active2,is_active3,is_active4,is_active5,is_active6,is_active7,is_active8,is_active9,is_active10,is_active11,is_active12,is_active13,is_active14,f0,g0,g1,g2,g3,g4,cv,is_feasible
0,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.8935780320316553,0.5,0.5,17654.367490671575,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,21.957536668733425,0.8235794621013912,38.7317460866645,0.0,0.0,-0.9,39.55532554876589,False
1,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.30439864844083786,0.5,0.5,2561.694803647697,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,26.706755397688994,0.7726906227093777,4.029080393165351,0.0,0.0,-0.9,4.8017710158747295,False
2,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.501659027300775,0.5,0.5,15207.65421167016,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,24.3530243016058,0.8375662470780949,15.64771670801565,0.0,0.0,-0.9,16.485282955093744,False
3,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.7358398092910647,0.5,0.5,9953.390973620117,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,22.658120822603763,0.8394517119644545,29.440964767243713,0.0,0.0,-0.9,30.280416479208167,False
4,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.44479890540242195,0.5,0.5,16643.296260386705,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,24.825286552544018,0.8318959903372591,12.298655528202655,0.0,0.0,-0.9,13.130551518539914,False
5,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.8474541362375021,0.5,0.5,3943.8555017113686,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,22.122849504977374,0.8271936971780187,36.015048624388875,0.0,0.0,-0.9,36.84224232156689,False
6,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.6660991674289107,0.5,0.5,12100.08673928678,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,23.17276644495053,0.8402876244038415,25.333240961562844,0.0,0.0,-0.9,26.173528585966686,False
7,1.0,0.0,0.0,0.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.8053021375089884,0.5,0.5,16031.513349153101,10500.0,10500.0,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,22.346153489122035,0.8314571978581573,33.53229589927942,0.0,0.0,-0.9,34.363753097137575,False
8,1.0,0.0,0.0,1.0,0.0,0.0,7.25,1.4500000000000002,3.0,0.40241727977991104,0.6982711795717478,0.5,5743.1470127776265,16572.41290062666,10500.0,True,False,False,True,True,True,False,False,False,True,True,False,True,True,False,25.40039260893426,0.806588809302309,-12.007346807229204,-6.712244559793753,0.0,-0.24138305634260182,0.806588809302309,False
9,1.0,0.0,0.0,1.0,0.0,1.0,7.25,1.4500000000000002,3.0,0.3563169874250889,0.610046966932714,0.5,19417.618518695235,7889.753364957869,10500.0,True,False,False,True,True,True,False,False,False,True,True,False,True,True,False,26.054481602350865,0.7911027845553547,-11.42122495091879,-8.828315483252235,0.0,-0.31196242645382877,0.7911027845553547,False
