sample_id,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,is_active0,is_active1,is_active2,is_active3,is_active4,is_active5,is_active6,is_active7,is_active8,is_active9,is_active10,is_active11,is_active12,is_active13,is_active14,is_active15,is_active16,is_active17,is_active18,is_active19,is_active20,is_active21,is_active22,is_active23,f0,f1,cv,is_feasible
0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5780666517093778,0.6959758140146732,0.5130916964262724,0.019104338251054287,0.5,0.5,0.20309333968907595,0.5,0.5,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,False,False,-3.632415788979594,31.40583140281506,0.0,True
1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.3190960641950369,0.5,0.5,0.6858884710818529,0.5,0.5,0.8935472164303064,0.00609154999256134,0.5132925044745207,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,True,-3.422336809391167,33.80567453916879,0.0,True
2,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.20706146582961082,0.5,0.5,0.46643063984811306,0.5,0.5,0.4678204618394375,0.3197043389081955,0.5,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,-3.538077882444234,28.323853797995028,0.0,True
3,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,48.0,21.0,14.0,0.96602728869766,0.49515641294419765,0.3222390450537205,0.8597045568749309,0.4034988796338439,0.3184015257284045,0.6269756881520152,0.9060204485431314,0.3369903555139899,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,-10.806276042639906,78.18513491229605,0.0,True
4,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.8600318245589733,0.9183646366000175,0.5,0.9494246635586023,0.29647672921419144,0.5,0.34907454811036587,0.48621112760156393,0.9367865296080709,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True,True,-7.301902878617687,62.189180003638796,0.0,True
5,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,20.0,0.11876495089381933,0.33403910230845213,0.6334022609516978,0.34568931069225073,0.5664410786703229,0.5,0.5551546448841691,0.7902911361306906,0.3834820557385683,True,True,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,-7.435908830339535,64.53454897397,0.0,True
6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.47984101343899965,0.5992811108008027,0.5,0.5021746559068561,0.5,0.5,0.11477728094905615,0.5,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,True,False,False,-3.4586908054583434,26.327408356721143,0.0,True
7,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,0.0,0.7211107518523932,0.15600749291479588,0.5,0.17182744853198528,0.22830549627542496,0.5,0.7895568162202835,0.1725963717326522,0.7149694887921214,True,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,True,True,False,True,True,True,-7.293758121990086,49.27390710929359,0.0,True
8,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,0.6364312591031194,0.8356523113325238,0.42229289282113314,0.3100330512970686,0.5,0.5,0.260483511723578,0.39318948797881603,0.5,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,False,-3.752009417476502,44.254072048280264,0.0,True
9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.3774606119841337,0.41978696547448635,0.5,0.891299600712955,0.5,0.5,0.5856534447520971,0.5,0.5,True,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,True,False,False,True,False,False,-3.570022471903531,29.592601542662315,0.0,True
10,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,34.0,0.015884358435869217,0.6547662056982517,0.15869725588709116,0.23775729443877935,0.5,0.5,0.025664567947387695,0.5111057450994849,0.13631246238946915,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,True,True,True,-3.7931692426402104,44.14413183120521,0.0,True
