n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.ld_wloa,kernel_weight.f0_failure_rate.graph_1.edge_weight,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.ld_wloa,kernel_weight.f1_mass.graph_1.edge_weight,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_0,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_1,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_2,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_3,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_4,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_5,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_6,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_7,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_8,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_sum,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_0,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_1,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_2,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_3,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_4,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_5,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_6,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_7,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_8,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_sum,run,seed,runtime_sec
30,0.6205632856349464,0.23003075547861532,0.606242745548614,1.0,0.0,0.0,4.591881716191665,0.5649261101808604,30,-7.1003900430025615,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,71,2716.8217866420746
40,0.3948991913777503,0.3668379755528391,0.606242745548614,0.636356034137112,8.18178017068556,5.077312385063484,4.990329054885777,0.9279521417713434,40,-7.1003900430025615,30.0,30.732197099001496,46.77288684798987,44.684178653988056,5172,0.008639632377027853,0.9803921568627451,0.009803921568627394,0.009803921568627411,0.35739089397890716,0.15503568495316472,0.48757342106792806,1.0,0.9016131614811518,0.9606116511908603,0.0,0.6645193161312217,0.0,0.0,0.0,0.0,3.5267441288032337,0.9837324612523936,0.23763500438541343,0.0,0.0,2.3259979686813184e-20,3.8815815850679666e-19,0.0,8.245729607751552e-21,0.0,1.221367465637807,19,71,2716.8217866420746
50,0.368201885843907,0.3830230233584265,0.606242745548614,0.5933349496613727,14.330235089677982,8.89281777117177,4.755154496211914,1.10523405517156,50,-7.337116856040214,40.0,33.48282187200675,52.742037331001484,95.26516427200113,10349,0.00920525309421211,0.7333867197717909,0.2592794130304911,0.007333867197717899,0.17254169047022666,0.43549944097055215,0.39195886855922113,1.0,0.6594865367345257,0.9999999999999988,0.8389688936160543,0.8345996114269989,0.8149423243199945,0.0,0.0,0.0,5.147997366097572,0.9999999999999998,0.3868503632946494,0.006115978260892349,0.0,0.0,0.0,0.0,0.0,0.0,1.3929663415555416,19,71,2716.8217866420746
60,0.33860254957554536,0.4009674062441747,0.606242745548614,0.5456374191217175,20.02509693359343,12.426839948269032,2.3287004026456106,1.0436117273405778,60,-10.644340580880403,50.0,34.99805120698875,63.674285000000964,156.7173478936602,15694,0.009985812915360022,0.3776358133334595,0.6185878285332058,0.003776358133334564,0.013007831865773296,0.37705514112846134,0.6099370270057655,0.24510998350436428,1.0,1.0,0.962023853294754,0.9113093683774955,0.9340232730956876,0.06857404645807372,0.0,3.38439684298128e-15,5.121040524730379,0.6592265403780578,0.7646612932144159,0.9119631548456358,0.0,0.0,0.0,0.0,0.0,0.0,2.33585098843811,19,71,2716.8217866420746
70,0.3364336972759189,0.4022822572169897,0.606242745548614,0.5421424455230016,25.463996256817026,15.802021182526353,2.0622554280994727,1.0219380240952791,70,-10.644340580880403,60.0,38.91985626499809,40.98176962400612,195.7191387336934,20747,0.009433611545461676,0.41588588875595844,0.5799552523564823,0.0041588588875592905,0.012869440437608397,0.36747151493144475,0.6196590446309469,0.1873652435690336,0.25811471474128644,0.9944679397210501,0.8963791934394303,0.8441640848091315,0.8776293344407392,0.8619819357175418,0.00031712840902273025,0.45008595888577935,5.370505533733015,0.8900807926606343,0.5522153595992092,0.5383211512744548,0.0,5.002875098207811e-18,0.0,0.0,0.0,0.0,1.9806173035342984,19,71,2716.8217866420746
80,0.1080984551877239,0.5407088412860445,0.606242745548614,0.17419408735584477,29.04567892121126,18.024681944844566,2.899463749183291,0.9981543537545169,80,-6.772372041262524,70.0,41.07533725599933,56.506331249998766,249.45416673664295,25769,0.009680397638117231,0.3383770076838797,0.6582392222392817,0.0033837700768387874,0.01290250399610886,0.36781472491108697,0.6192827710928042,1.0,0.8369367874181295,0.9797229851786752,0.7543860160906509,0.8345332801231383,0.6874338597554669,0.0,0.0,0.0,5.093012928566061,0.9837372909342663,0.9999999999999999,0.9731170678302197,0.7737213222010628,0.0,0.0,5.204170427930421e-18,0.0,0.0,3.730575680965549,19,71,2716.8217866420746
90,0.07531944448921994,0.5605808787282729,0.606242745548614,0.12137270481954919,30.52351288208823,18.941771443229285,1.73547203770922,0.7169373582884899,90,-6.772372041262524,80.0,43.73532957499265,80.16340329300147,327.1774133466679,31116,0.010514764537429873,0.012281928439004556,0.9119863391670273,0.0757317323939681,0.012923095273591086,0.36731898691406256,0.6197579178123463,0.42525159073793845,0.9999999999999999,0.9644184238286366,0.06211581741095304,0.0,0.0,0.0,0.0,0.0,2.451785831977528,0.9549054375992425,0.9988400605277161,0.684516813490937,0.0,0.0,0.0,0.0,0.0,0.0,2.6382623116178956,19,71,2716.8217866420746
100,0.0743297904744552,0.5611808492953271,0.606242745548614,0.1197779375529808,31.72926609395088,19.690017618047662,1.533218819714042,0.9829006153072187,100,-6.772372041262524,90.0,47.207494770002086,33.18155796499923,358.9203699856589,34151,0.010509805568963103,0.4919731887904537,0.5031070793216419,0.004919731887904536,0.01004114531567754,0.826650624315419,0.1633082303689034,0.26811104989128814,0.6224449023820904,0.9298292454384561,0.9936331522732236,0.7401144289153557,0.7547700296893632,0.0,0.0,0.0,4.308902808589778,1.0,0.8353270818812987,0.004011422623371931,0.003471310825253915,1.0990214927280471e-18,0.0,0.0,0.0,7.168521050982817e-18,1.8428098153299244,19,71,2716.8217866420746
110,0.07085098278952098,0.5632898512174772,0.606242745548614,0.11417205050573986,32.89901603424448,20.415921484367544,1.5013829614682854,0.9866962897949555,110,-6.772372041262524,100.0,49.568850449999445,49.91955760099518,406.241326973628,39301,0.010336666420030737,0.3770547331746002,0.6191747194936539,0.003770547331746002,0.013073232705417315,0.36427011300995693,0.6226566542846257,0.9999999999999999,0.8650032668596336,0.9527908080385877,0.9978585691669261,0.8886697962374696,0.9510165372550191,0.0,0.0,0.0,5.655338977557635,0.7333430186896701,0.9648735674771877,0.15549866490786649,0.0,1.0414810823436045e-20,8.218282972658359e-20,0.0,0.0,0.0,1.8537152510747241,19,71,2716.8217866420746
120,0.07085098278952098,0.5632898512174772,0.606242745548614,0.11417205050573986,34.04073653930188,21.124431312262754,1.5013829614682854,0.9866962897949555,120,-6.772372041262524,110.0,50.81358803600597,37.76639336699736,442.8966259146837,41834,0.010587001623432703,0.33258880855640277,0.6631558434090165,0.0042553480345806855,0.005838665433487294,0.5764833410339589,0.41767799353255386,0.7234646614730024,0.8316228639745503,0.7244095973456525,0.9672166857399269,0.9657831552726575,0.726045842920605,0.0008615280486794883,2.019783809889093e-19,0.0,4.939404334775073,0.9679559675347756,0.9470630176265326,0.8685495854021082,0.0,0.0,0.0,0.0,5.927634041007125e-19,6.503630743680437e-18,2.7835685705634163,19,71,2716.8217866420746
