x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,f0,f1,run,seed
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6471456931903958,0.5,0.5,0.5020129894837737,0.5,0.5,0.6699253665283322,0.5,0.5,-3.440677223719804,21.46321297357678,18,70
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1318771168589592,0.5,0.5,0.3336042333394289,0.5,0.5,0.34047422278672457,0.06216262187808752,0.5,-3.5568291458259824,20.039187485682667,18,70
0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4060685485601425,0.5,0.5,0.9324545562267303,0.5,0.5,0.9051537169143558,0.2536021424457431,0.750515652820468,-3.656041656252415,37.70459807335197,18,70
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8891295315697789,0.5,0.5,0.2317150579765439,0.20168977975845337,0.5,0.10573270451277494,0.5,0.5,-3.7403347404341236,24.768684520853093,18,70
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8404783196747303,0.5,0.5,0.03255060035735369,0.06327386759221554,0.5,0.8099266244098544,0.5,0.5,-3.9109219193372264,26.37933319505935,18,70
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32520220521837473,0.5,0.5,0.8659938797354698,0.9785945089533925,0.5,0.20309751760214567,0.7418674640357494,0.5,-4.069570674750211,37.4776155419128,18,70
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083844811655581,0.70393992587924,0.5,0.3999562058597803,0.5,0.5,0.5134165333583951,0.5,0.5,-3.502218302239445,25.498166037128062,18,70
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5668830536305904,0.23734133690595627,0.5,0.7012861808761954,0.5,0.5,0.4991177963092923,0.16672153118997812,0.5,-3.7192379106930757,31.34656419713774,18,70
0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5166327795013785,0.9421261213719845,0.5,0.7655761744827032,0.5,0.5,0.8640297800302505,0.4991871630772948,0.9485831148922443,-3.741328569552534,50.04583479688213,18,70
0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.000670330598950386,0.4759542718529701,0.5,0.08630697708576918,0.5,0.5,0.1312316209077835,0.6544502433389425,0.46384007669985294,-3.943084147400066,35.10070393586151,18,70
2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2738842610269785,0.5,0.5,0.6788706192746758,0.1411841008812189,0.19834864977747202,0.5665447544306517,0.5,0.5,-3.685236627632601,30.53477686525217,18,70
2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759592211805284,0.5,0.5,0.46946031227707863,0.8069338807836175,0.9470873773097992,0.4282298516482115,0.19066289346665144,0.5,-4.32736913942127,45.59310819055885,18,70
2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9638792853802443,0.5,0.5,0.2936113439500332,0.9257887816056609,0.7052322551608086,0.7261722814291716,0.8038387186825275,0.06632302235811949,-4.614481100300002,56.12924135661384,18,70
0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44789403956383467,0.12828862108290195,0.3450263850390911,0.6203445727005601,0.5,0.5,0.2707370650023222,0.5,0.5,-3.4676756075701025,29.19926155766243,18,70
0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.20555914472788572,0.7954156743362546,0.6006720131263137,0.1449684603139758,0.5,0.5,0.9604254215955734,0.35371555481106043,0.5,-3.871623140852821,40.50488929052359,18,70
0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6912596132606268,0.26305116806179285,0.07808415777981281,0.9412897359579802,0.5,0.5,0.03697369992733002,0.510950893163681,0.5,-3.8576871871066576,38.30721631377456,18,70
0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.7380400206893682,0.7595572881400585,0.965893535874784,0.4223640700802207,0.5,0.5,0.3445172989740968,0.33173543959856033,0.47644640784710646,-3.7133557708554994,54.33244398025366,18,70
1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22109730076044798,0.291097067296505,0.5,0.7256617043167353,0.8405287275090814,0.5,0.642992147244513,0.5,0.5,-3.963728295682343,35.19044610736725,18,70
1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4948651818558574,0.6326074069365859,0.5,0.0081590935587883,0.702999223023653,0.5,0.07828264590352774,0.7643104018643498,0.5,-7.291787187284903,38.83809394277175,18,70
1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9795929174870253,0.16024028044193983,0.5,0.843540963716805,0.3486384144052863,0.5,0.90874098893255,0.10903069004416466,0.1984713189303875,-7.487407665728187,51.34748887644314,18,70
2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8064414029940963,0.6073912959545851,0.5,0.8943918393924832,0.479783752001822,0.254712225869298,0.23787178751081228,0.5,0.5,-3.8406002970217945,44.835461088697826,18,70
