n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.ld_wloa,kernel_weight.f0_failure_rate.graph_1.edge_weight,kernel_weight.f0_failure_rate.sizing,kernel_weight.f1_mass.graph_0.ld_wloa,kernel_weight.f1_mass.graph_1.edge_weight,kernel_weight.f1_mass.sizing,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_0,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_1,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_2,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_3,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_4,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_5,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_6,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_7,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_8,kernel_diagnostics.f0_failure_rate.graph_0.ld_wloa.w_sum,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_0,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_1,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_2,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_3,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_4,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_5,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_6,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_7,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_8,kernel_diagnostics.f1_mass.graph_0.ld_wloa.w_sum,run,seed,runtime_sec
30,0.659114314557681,0.20665947386077266,0.606242745548614,1.0,0.0,0.0,9.06518859164791,0.4405006360128928,30,-8.455100692716726,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,56,3971.835763692856
40,0.4510357950691335,0.3328055668052005,0.606242745548614,0.6843058709350214,8.421529354675107,5.550750548134072,9.076016095864247,0.6498690142769579,40,-3.739784443221021,30.0,41.48346770799981,28.01215629299986,26.468781710995245,2329,0.011364869777155536,0.005761749431357057,0.5761749431357056,0.41806330743293724,0.0075049344579090575,0.36371298455780193,0.6287820809842891,1.0,1.0,0.27285672485885554,0.5507349197655826,0.24050696747946415,0.37496539165284626,0.736627927705573,0.6526968473963481,0.0,4.82838877885867,1.0,0.5515954484833052,0.2987138164625606,0.8689652834247316,0.46381492475421376,0.19794687437845673,0.5805320559658669,0.010329431543119235,0.0,3.9718978350122542,4,56,3971.835763692856
50,0.4460424824899961,0.3358327263325592,0.606242745548614,0.6767300794996793,15.22670910684861,10.03614193592972,2.8059080987059266,0.6021759031291065,50,-3.739784443221021,40.0,49.130750235999585,29.755370981998567,54.538330589006364,4843,0.011261269995665159,0.01013438106359396,0.8319515518395743,0.15791406709683184,0.012824778033543049,0.3614268336093111,0.6257483883571457,0.10778590592659797,0.18838496688711975,0.8914937048716787,0.36242982190611783,0.9449454001861541,0.6719404425147851,0.3610966083259912,0.6234721572725027,0.48408188842182326,4.635630896312771,0.9946019029227195,0.402907528394475,0.12270503724065446,0.005909042481273353,2.563913980314064e-19,2.296292674685381e-18,0.0,0.0,0.0,1.5261235110391222,4,56,3971.835763692856
60,0.1480946319326281,0.5164614492847661,0.606242745548614,0.22468732458346252,19.73379612726432,13.006827508042841,3.0044153376899603,0.8094458414257772,60,-3.739784443221021,50.0,57.1998776649998,91.0940814429996,141.6956385610647,10050,0.014099068513538775,0.012445652315991441,0.8944542006888279,0.09310014699518074,0.012977295274287511,0.3634648841079414,0.623557820617771,1.0,0.7732702314237352,2.784951423424255e-17,0.0334530816651156,0.18371654280480915,0.0,0.0,0.0,0.0,1.9904398558936598,0.9995739811063729,0.9970684954622068,0.0,0.0,0.0,0.0,0.0,0.0,7.641198241965536e-21,1.9966424765685797,4,56,3971.835763692856
70,0.13655300132395726,0.5234584791130746,0.606242745548614,0.2071765068789249,21.893115284576258,14.430065674325768,2.7884153879311255,0.8333632037656242,70,-3.862458455775621,60.0,65.02022157700048,45.292794771001354,184.99708075906165,13223,0.013990552882028408,0.6203556031098182,0.3734408408590836,0.006203556031098186,0.0074605176216722795,0.37511261853360073,0.6174268638447271,1.0,0.9999999999999997,1.0,0.6820970090728256,0.8197772140841025,0.06718268040919541,0.0,0.0,0.0,4.569056903566123,0.8818908346275364,0.8612680672650139,0.0011498598777432607,0.0,1.8701663311924416e-17,7.141889088872307e-18,2.0938399895250488e-17,5.053635876266922e-17,0.0,1.7443087617702935,4,56,3971.835763692856
80,0.1200414394438727,0.5334684937205529,0.606242745548614,0.18212537156688854,23.839624676805325,15.713037878164917,2.593201736958413,1.069773908075849,80,-6.540710051061956,70.0,64.80281140400257,52.995152827999846,235.90647522503787,16433,0.014355654793710088,0.011838821546425817,0.6199468718920673,0.36821430656150694,0.012951965577885891,0.36831746233567125,0.6187305720864428,0.9990009490150518,0.7394204839661376,0.0,0.0,0.5258883423635221,0.0,0.0,0.0,0.0,2.2643097753447115,0.8627673343785401,0.8514941457579231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142614801364633,4,56,3971.835763692856
90,0.10233994714056253,0.5441998950148194,0.606242745548614,0.15526888868927224,25.526595978086128,16.824944811087093,2.1191526914464762,1.0502397661942686,90,-6.540710051061956,80.0,72.29393838800024,100.30586527899868,331.6105445150497,21619,0.015338847519082738,0.012282805678897944,0.6337755752269649,0.35394161909413707,0.005851712097588467,0.5777501049880879,0.4163981829143237,0.8488969027017089,1.0,0.5128477875536854,0.0,1.0,8.999232809600037e-18,3.7327455409177193e-17,0.0,0.0,3.361744690255394,0.4070790978028306,0.11937822943326627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5264573272360968,4,56,3971.835763692856
100,0.10233994714056253,0.5441998950148194,0.606242745548614,0.15526888868927224,27.07928486497885,17.848344282492718,2.1191526914464762,1.0502397661942686,100,-6.540710051061956,90.0,74.18587841800036,81.45932009600074,409.8351839470779,26808,0.01528779408934191,0.6853567945654379,0.30778963748890775,0.0068535679456543765,0.16643207815849925,0.5657719864496472,0.26779593539185353,0.9995585612983303,0.9115791039072745,0.3460624821434175,0.98351722513492,0.6078400093559053,0.17081543724251666,0.0,0.0,0.0,4.019372819082364,0.8583680256376078,0.9782568005801643,0.0,0.0,0.0,0.0,0.0,1.3168888450099955e-21,0.0,1.836624826217772,4,56,3971.835763692856
110,0.031870635328274576,0.5869214040848222,0.606242745548614,0.04835372957976546,28.097397956324038,18.519397194836905,2.3411562894906237,0.9835030312450164,110,-3.3928321399338657,100.0,78.32357530900117,34.067716958001256,442.1131242040792,29123,0.015180892222781966,0.9803921568627451,0.009803921568627461,0.00980392156862745,0.005876385119057831,0.5827919057924488,0.41133170908849337,0.8872912870809686,0.7191055514906188,0.8653141854375005,0.9951626398768969,0.6048689486047996,0.22289954162597522,0.0,0.2539677738863028,0.0,4.548609928003063,0.7995667823402545,0.31609349947429527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1156602818145498,4,56,3971.835763692856
120,0.031096945720266448,0.5873904477969835,0.606242745548614,0.047179897376580286,28.575066091105768,18.83423510007961,2.1635294429658907,1.0555783673586174,120,-3.3928321399338657,110.0,84.119943736001,94.42446164500143,533.2555720800447,34361,0.01551920992055076,0.010136774771369166,0.8192644910692719,0.1705987341593589,0.007569010195247193,0.36912179609126844,0.6233091937134844,0.9999999999999999,0.8157292418956433,0.9102297064586703,0.04681071336280841,1.0,0.051509413861457395,0.0,0.0,0.0,3.824279075578579,1.0,0.9701043207163678,2.456915916204662e-18,5.067414434999434e-18,0.0,0.0,2.9910648063647496e-18,2.0260505427040936e-18,0.0,1.9701043207163678,4,56,3971.835763692856
130,0.02995878837449991,0.5880804474311473,0.606242745548614,0.04545309927702705,29.038231074373805,19.139513770553442,1.9782402612010435,0.9820424753027717,130,-3.3928321399338657,120.0,85.56698625200079,97.20205927500137,627.2502469810279,39602,0.015838852759482547,0.32636651611738327,0.670369818721443,0.003263665161173831,0.013067453007039289,0.08535913558253848,0.9015734114104224,0.9148068660609351,0.6660458187318206,0.9999999999999998,0.6730944062193552,0.4275558952147005,0.6890111521002044,0.0033009626591828066,0.0,0.0,4.373815100986198,0.9999999999999992,0.7950478307384741,8.604228440844963e-16,0.0,0.0,0.0,0.0,0.0,0.0,1.7950478307384743,4,56,3971.835763692856
140,0.028537889922869604,0.5889418568096094,0.606242745548614,0.04329732990554277,29.481983220286654,19.43199716204029,1.6633402943260065,1.0279787908350364,140,-10.58232724141595,130.0,90.0165175789989,85.40581553299853,709.6286550910372,44785,0.015845230659619007,0.47531106421431724,0.5199358251435396,0.0047531106421431725,0.011767738163608722,0.629756611360898,0.3584756504754932,0.29709465688010905,0.8845856454546389,0.9972425156173287,0.9523708306979746,0.8523517569835601,0.9727843333134737,7.625683035762003e-18,0.0,0.0,4.956429738947085,0.998961684093169,0.8362139499873523,0.23014507445643562,0.0,3.081086398095192e-05,0.0,0.0,0.0,0.0,2.065351519400938,4,56,3971.835763692856
150,0.026580828595010125,0.590128311042218,0.606242745548614,0.04032810091956205,29.90011037441218,19.70759075462969,1.6551527119653502,1.0433738074333438,150,-10.58232724141595,140.0,96.3064227399991,100.40159629099799,807.0777708910173,49495,0.016306248527952667,0.4598947412969139,0.5355063112901169,0.004598947412969138,0.012988027200088235,0.36173278634395717,0.6252791864559545,0.9978497694913371,0.9628318961066721,0.952951830512603,0.7109871248380886,0.9174801417291724,0.23723956589942388,0.0014258292142317825,0.0,0.0,4.780766157791529,0.715583268950557,0.47037017458883207,0.5725009939943749,0.0,0.0,0.0,0.0,0.0,0.0,1.7584544375337638,4,56,3971.835763692856
160,0.02650252710830395,0.5901757807504993,0.606242745548614,0.04020930288259524,30.302797393422967,19.97300753314626,1.3932312923972903,1.0353095817148907,160,-10.58232724141595,150.0,100.32320130299922,68.692683639998,872.5243773590264,53915,0.016183332604266465,0.387045904851914,0.6090836360995668,0.003870459048519139,0.011877996494122777,0.6216996790233409,0.36642232448253637,0.5717216630204,0.5020475280190541,0.9882716828132827,1.0,0.9995857991724153,0.5761949745137366,0.6725967668518176,0.23704384711063878,4.939042473705641e-17,5.5474622615013445,0.9966149729991302,0.9941310598843619,0.0,0.0,0.0,0.0,0.0,1.2356426364446222e-18,2.0375870937166363e-21,1.990746032883492,4,56,3971.835763692856
170,0.024814135186978066,0.591199356104446,0.606242745548614,0.03764769576219924,30.692082386646938,20.22959084462267,1.3816332704402927,1.060122512760323,170,-10.58232724141595,160.0,103.13841267499811,91.83406659100001,961.0333709870756,59105,0.01625976433443999,0.31955346491707387,0.6772510004337554,0.0031955346491707383,0.014101404642936235,0.566339739888595,0.41955885546846894,0.22709227900244722,0.015408915778250269,0.8895074516049257,0.8719508219637327,0.8019408054458649,0.6015928606808424,0.034996108026640285,6.840249423059895e-18,0.0,3.442489242502704,0.9680319062719427,0.6623341825074718,0.17288022893297356,0.0,0.0,0.0,0.0,0.0,0.0,1.803246317712388,4,56,3971.835763692856
180,0.02431295214092068,0.5915031946903102,0.606242745548614,0.03688730710883838,31.064757401002126,20.475226281262163,1.382015216373141,1.0514623061034538,180,-10.58232724141595,170.0,105.44428591500036,107.34419321200039,1065.1468791990847,64343,0.016554199822810322,0.3407085891092466,0.6519843619310276,0.007307048959725779,0.013121750294070342,0.3629272862792658,0.6239509634266639,0.40343305946305874,0.4518160846405936,0.99674743137352,0.9980776894291928,0.9832706389346578,0.9312772029679334,0.00037658630619593714,0.4847810249011898,0.5251250274872996,5.774904745503641,0.9846486058408479,1.0,0.7791540611180557,0.0,0.0,0.0,0.0,0.0,0.0,2.7638026669589038,4,56,3971.835763692856
