x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,f0,f1,g0,g1,g2,run,seed
2.0,2.0,1.0,0.0,1.0,3.0,5.0,5.0,30.0,0.8057324154904484,0.46584568363651124,0.9098790656993501,0.18,10.190074909924068,8.822179698602111,-4.932305317196976,-1.1552401701919734e-08,-171481.84786814605,-17.07825898749183,21,2021
2.0,2.0,1.0,0.0,0.0,3.0,5.0,5.0,30.0,0.8308872941430593,0.8591822749883832,1.4769666920599042e-16,0.18,11.0,8.74566894399064,-4.722433221867874,-1.1089468898717314e-08,-164770.8441443509,-20.608646216705463,21,2021
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,0.46647503419318087,0.5,0.5,0.18,10.959955711127703,7.663670685602243,-2.9736562616350497,-0.005901926847400318,-130629.06507768454,-1.6554516501029082,21,2021
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,28.0,0.46885660866779244,0.5,0.5,0.18,10.958016668417109,7.664220234677354,-2.9772718681907238,-0.041624862334174395,-131113.65337090398,-1.6634265707531193,21,2021
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.5636773203698298,0.5,0.5,0.18,10.024780153603073,7.704590913413588,-3.291398783621505,-0.05770065079104825,-160104.6114665843,-2.65706496252054,21,2021
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,29.607267940927514,0.41528737523134757,0.5,0.5,0.18,10.79470908319223,7.65559852497724,-2.8772970296472207,-0.0005698920276699937,-123725.03996475524,-1.4838892821219587,21,2021
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.7398645175717712,0.5,0.5,0.18,10.577462248718845,7.731510173996776,-3.4096889811562847,-0.00023010925997368759,-173644.986851528,-3.0182015440939005,21,2021
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,31.606776161371247,0.5649106452693292,0.5,0.5,0.18,10.258771590901818,7.699609848379162,-3.2571157192426714,-0.0003374039160917164,-158553.88815350278,-1.905065430257801,21,2021
2.0,2.0,0.0,0.0,0.0,2.0,5.0,5.0,30.0,0.7612627431258063,0.2705802612462854,0.47930894127324664,0.18,10.508449220119426,8.288962374170103,-4.378500879447526,-1.2434520613169298e-07,-181262.23293275078,-14.485963597897227,21,2021
0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,30.0,0.9985279267287724,0.5,0.5,0.18,10.886696235101246,7.779745812668772,-3.5009541472742995,-0.015108462147509272,-186620.89136867205,-4.338349494097346,21,2021
2.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,30.0,0.6173295646509169,0.27574814222069816,1.1932376359886978e-17,0.1779168528260462,10.501431809647295,8.220351962465653,-4.222746271367775,-3.565529732441064e-05,-169224.96160723953,-44.63057168404734,21,2021
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,29.86801232876281,0.3746710621678837,0.5,0.5,0.18,11.0,7.643296387048339,-2.6925510622025843,-5.014276121073635e-05,-110667.39504628455,-1.3261039040035498,21,2021
1.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,30.0,0.09507924783451098,0.7017892015970626,0.5,0.15,10.69471701280214,7.933175179116867,-3.8374202141226936,-6.946938810870051e-07,-172140.5539860473,-8.557342521418109,21,2021
